Name,Team,Position,OVR
Kurt Warner,Arizona Cardinals,QB,94
Matt Leinart,Arizona Cardinals,QB,68,,
"Chris ""Beanie"" Wells",Arizona Cardinals,RB,79
Tim Hightower,Arizona Cardinals,RB,74
Larry Fitzgerald,Arizona Cardinals,WR,99
Anquan Boldin,Arizona Cardinals,WR,94
Steve Breaston,Arizona Cardinals,WR,79
Early Doucet,Arizona Cardinals,WR,64
Levi Brown,Arizona Cardinals,RT,81
Karlos Dansby,Arizona Cardinals,LOLB,89
Adrian Wilson,Arizona Cardinals,SS,97
Antrel Rolle,Arizona Cardinals,FS,84
Dominique Rodgers-Cromartie,Arizona Cardinals,CB,87
Neil Rackers, Atlanta Falcons,K,81
Matt Ryan, Atlanta Falcons,QB,85
Michael Turner, Atlanta Falcons,RB,95
Jerious Norwood, Atlanta Falcons,RB,79
Tony Gonzalez, Atlanta Falcons,TE,98
Roddy White, Atlanta Falcons,WR,93
Michael Jenkins, Atlanta Falcons,WR,79
John Abraham, Atlanta Falcons,RE,95
Jamaal Anderson, Baltimore Ravens,LE,70
Joe Flacco, Baltimore Ravens,QB,81
Willis McGahee, Baltimore Ravens,RB,83
Ray Rice, Baltimore Ravens,RB,78
Le'Ron McClain, Baltimore Ravens,FB,92
Todd Heap, Baltimore Ravens,TE,84
Derrick Mason, Baltimore Ravens,WR,88
Michael Oher, Baltimore Ravens,LT,77
Haloti Ngata, Baltimore Ravens,RE,90
Ray Lewis, Baltimore Ravens,MLB,97
Terrell Suggs, Baltimore Ravens,ROLB,90
Ed Reed, Buffalo Bills,FS,99
Trent Edwards, Buffalo Bills,QB,76
Marshawn Lynch, Buffalo Bills,RB,87
Fred Jackson, Buffalo Bills,RB,77
Terrell Owens, Buffalo Bills,WR,91
Lee Evans, Buffalo Bills,WR,85
Roscoe Parrish, Buffalo Bills,WR,66
Marcus Stroud, Buffalo Bills,DT,92
Aaron Schobel, Buffalo Bills,RE,86
Paul Posluszny, Buffalo Bills,MLB,82
Donte Whitner, Buffalo Bills,SS,85
Terrence McGee, Carolina Panthers,CB,82
Jake Delhomme, Carolina Panthers,QB,80
Matt Moore, Carolina Panthers,QB,55
DeAngelo Williams, Carolina Panthers,RB,94
Jonathan Stewart, Carolina Panthers,RB,85
Steve Smith, Carolina Panthers,WR,97
Muhsin Muhammad, Carolina Panthers,WR,79
Julius Peppers, Carolina Panthers,RE,97
Charles Johnson, Carolina Panthers,LE,68
Jon Beason, Carolina Panthers,MLB,92
Thomas Davis, Chicago Bears,LOLB,85
Jay Cutler, Chicago Bears,QB,87
Matt Forté, Chicago Bears,RB,89
Garrett Wolfe, Chicago Bears,RB,69
Greg Olsen, Chicago Bears,TE,82
Desmond Clark, Chicago Bears,TE,79
Devin Hester, Chicago Bears,WR,71
Johnny Knox, Chicago Bears,WR,62
Olin Kruetz, Chicago Bears,C,87
Chris Williams, Chicago Bears,LT,73
Tommie Harris, Chicago Bears,DT,92
Alex Brown, Chicago Bears,RE,78
Mark Anderson, Chicago Bears,RE,71
Israel Idonije, Chicago Bears,LE,65
Lance Briggs, Chicago Bears,ROLB,95
Brian Urlacher, Chicago Bears,MLB,94
Hunter Hillenmeyer, Chicago Bears,MLB,68
Nathan Vasher, Cincinnati Bengals,CB,75
Carson Palmer, Cincinnati Bengals,QB,88
Cedric Benson, Cincinnati Bengals,RB,76
Bernard Scott, Cincinnati Bengals,RB,63
Chad Ochocinco, Cincinnati Bengals,WR,89
Laveranues Coles, Cincinnati Bengals,WR,87
Andre Caldwell, Cincinnati Bengals,WR,58
Andre Smith, Cincinnati Bengals,LT,81
Rey Maualuga, Cincinnati Bengals,MLB,79
Jonathan Joseph, Cincinnati Bengals,CB,76
Leon Hall, Cincinnati Bengals,CB,75
Brady Quinn, Cincinnati Bengals,QB,71
Derek Anderson, Cincinnati Bengals,QB,70
Jamal Lewis, Cincinnati Bengals,RB,85
Jerome Harrison, Cincinnati Bengals,RB,71
Braylon Edwards, Cincinnati Bengals,WR,86
Josh Cribbs, Cincinnati Bengals,WR,63
Joe Thomas, Cincinnati Bengals,LT,97
Kamerion Wimbley, Dallas Cowboys,ROLB,78
Tony Romo, Dallas Cowboys,QB,87
Marion Barber, Dallas Cowboys,RB,88
Felix Jones, Dallas Cowboys,RB,78
Tashard Choice, Dallas Cowboys,RB,76
Jason Witten, Dallas Cowboys,TE,97
Roy Williams, Dallas Cowboys,WR,84
Miles Austin, Dallas Cowboys,WR,71
DeMarcus Ware, Denver Broncos,ROLB,98
Kyle Orton, Denver Broncos,QB,74
Knowshon Moreno, Denver Broncos,RB,81
Brandon Marshall, Denver Broncos,WR,92
Eddie Royal, Denver Broncos,WR,82
D.J. Williams, Denver Broncos,ROLB,86
Elvis Dumervil, Denver Broncos,LOLB,65
Brian Dawkins, Denver Broncos,SS,92
Champ Bailey, Detroit Lions,CB,96
Matthew Stafford, Detroit Lions,QB,79
Kevin Smith, Detroit Lions,RB,80
Calvin Johnson, Detroit Lions,WR,92
Ernie Sims, Green Bay Packers,ROLB,88
Aaron Rodgers, Green Bay Packers,QB,86
Ryan Grant, Green Bay Packers,RB,85
Jermichael Finley, Green Bay Packers,TE,70
Greg Jennings, Green Bay Packers,WR,90
Donald Driver, Green Bay Packers,WR,85
Jordy Nelson, Green Bay Packers,WR,69
B.J. Raji, Green Bay Packers,DT,81
Nick Barnett, Green Bay Packers,MLB,84
A.J. Hawk, Green Bay Packers,MLB,78
Clay Matthews, Green Bay Packers,ROLB,77
Desmond Bishop, Green Bay Packers,MLB,60
Atari Bigby, Green Bay Packers,SS,80
Charles Woodson, Green Bay Packers,CB,93
Tramon Williams, Houston Texans,CB,73
Matt Schaub, Houston Texans,QB,77
Steve Slaton, Houston Texans,RB,87
Andre Johnson, Houston Texans,WR,98
Jacoby Jones, Houston Texans,WR,63
Mario Williams, Houston Texans,RE,95
DeMeco Ryans, Houston Texans,MLB,88
Brian Cushing, Indianapolis Colts,LOLB,78
Peyton Manning, Indianapolis Colts,QB,99
Joseph Addai, Indianapolis Colts,RB,85
Donald Brown, Indianapolis Colts,RB,77
Dallas Clark, Indianapolis Colts,TE,91
Reggie Wayne, Indianapolis Colts,WR,95
Anthony Gonzalez, Indianapolis Colts,WR,75
Austin Collie, Indianapolis Colts,WR,68
Pierre Garçon, Indianapolis Colts,WR,54
Dwight Freeney, Indianapolis Colts,RE,94
Robert Mathis, Indianapolis Colts,LE,92
Gary Brackett, Indianapolis Colts,MLB,82
Bob Sanders, Indianapolis Colts,SS,95
Antoine Bethea, Indianapolis Colts,FS,88
Adam Vinatieri, Jacksonville Jaguars,K,79
David Garrard, Jacksonville Jaguars,QB,78
Maurice Jones-Drew, Jacksonville Jaguars,RB,89
Marcedes Lewis, Jacksonville Jaguars,TE,78
Torry Holt, Jacksonville Jaguars,WR,84
Mike Walker, Jacksonville Jaguars,WR,59
Eugene Monroe, Jacksonville Jaguars,LT,82
Derrick Harvey, Jacksonville Jaguars,RE,68
Reggie Nelson, Jacksonville Jaguars,FS,83
Rashean Mathis, Kansas City Chiefs,CB,93
Matt Cassel, Kansas City Chiefs,QB,83
Brodie Croyle, Kansas City Chiefs,QB,56
Larry Johnson, Kansas City Chiefs,RB,88
Jamaal Charles, Kansas City Chiefs,RB,68
Dwayne Bowe, Kansas City Chiefs,WR,86
Glenn Dorsey, Kansas City Chiefs,RE,75
Derrick Johnson, Kansas City Chiefs,MLB,83
Tamba Hali, Miami Dolphins,LOLB,65
Chad Pennington, Miami Dolphins,QB,85
Chad Henne, Miami Dolphins,QB,66
Pat White, Miami Dolphins,QB,65
Ronnie Brown, Miami Dolphins,RB,89
Ricky Williams, Miami Dolphins,RB,77
Ted Ginn Jr., Miami Dolphins,WR,78
Jake Long, Miami Dolphins,LT,91
Joey Porter, Miami Dolphins,ROLB,94
Jason Taylor, Minnesota Vikings,LOLB,79
Brett Favre, Minnesota Vikings,QB,82,, 
 Tarvaris Jackson, Minnesota Vikings,QB,67
Adrian Peterson, Minnesota Vikings,RB,97
Chester Taylor, Minnesota Vikings,RB,78
Visanthe Shiancoe, Minnesota Vikings,TE,78
Bernard Berrian, Minnesota Vikings,WR,82
Percy Harvin, Minnesota Vikings,WR,76
Sidney Rice, Minnesota Vikings,WR,71
Kevin Williams, Minnesota Vikings,DT,97
Jared Allen, Minnesota Vikings,RE,98
E.J. Henderson, Minnesota Vikings,MLB,80
Antoine Winfield, New England Patriots,CB,88
Tom Brady, New England Patriots,QB,97
Fred Taylor, New England Patriots,RB,82
Laurence Maroney, New England Patriots,RB,78
Ben Watson, New England Patriots,TE,80
Randy Moss, New England Patriots,WR,96
Wes Welker, New England Patriots,WR,91
Richard Seymour, New England Patriots,RE,95
Adalius Thomas, New England Patriots,ROLB,90
Jerod Mayo, New England Patriots,MLB,88
Tedy Bruschi, New England Patriots,MLB,81
Patrick Chung, New Orleans Saints,SS,75
Drew Brees, New Orleans Saints,QB,96
Reggie Bush, New Orleans Saints,RB,79
Pierre Thomas, New Orleans Saints,RB,77
Jeremy Shockey, New Orleans Saints,TE,85
Marques Colston, New Orleans Saints,WR,87
Lance Moore, New Orleans Saints,WR,81
Sedrick Ellis, New Orleans Saints,DT,85
Charles Grant, New Orleans Saints,LE,76
Jonathan Vilma, New Orleans Saints,MLB,87
Darren Sharper, New Orleans Saints,FS,87
Malcolm Jenkins, New York Giants,CB,79
Eli Manning, New York Giants,QB,87
Brandon Jacobs, New York Giants,RB,90
Ahmad Bradshaw, New York Giants,RB,73
Kevin Boss, New York Giants,TE,83
Hakeem Nicks, New York Giants,WR,76
Steve Smith, New York Giants,WR,76
Mario Manningham, New York Giants,WR,63
Sinorice Moss, New York Giants,WR,60
Justin Tuck, New York Giants,LE,95
Osi Umenyiora, New York Giants,RE,94
Antonio Pierce, New York Giants,MLB,86
Kenny Phillips, New York Giants,FS,78
Corey Webster, New York Jets,CB,90
Mark Sanchez, New York Jets,QB,78
Kellen Clemens, New York Jets,QB,69
Thomas Jones, New York Jets,RB,90
Leon Washington, New York Jets,RB,79
Shonn Greene, New York Jets,RB,73
Dustin Keller, New York Jets,TE,77
Jerricho Cotchery, New York Jets,WR,81
Brad Smith, New York Jets,WR,66
Alan Faneca, New York Jets,LG,97
Nick Mangold, New York Jets,C,94
D'BrickashawFerguson, New York Jets,LT,80
Kris Jenkins, New York Jets,DT,95
Shaun Ellis, New York Jets,LE,86
Bart Scott, New York Jets,MLB,90
Vernon Gholston, New York Jets,LOLB,70
Kerry Rhodes, New York Jets,FS,92
Darrelle Revis, New York Jets,CB,91
Dwight Lowery, Oakland Raiders,CB,72
JaMarcus Russell, Oakland Raiders,QB,72
Darren McFadden, Oakland Raiders,RB,79
Darrius Heyward-Bey, Oakland Raiders,WR,76
Javon Walker, Oakland Raiders,WR,71
Robert Gallery, Oakland Raiders,LG,79
Derrick Burgess, Oakland Raiders,RE,87
Michael Huff, Oakland Raiders,SS,71
Nnamdi Asomugha, Philadelphia Eagles,CB,99
Donovan McNabb, Philadelphia Eagles,QB,90
Michael Vick, Philadelphia Eagles,QB,73,, 
 Kevin Kolb, Philadelphia Eagles,QB,68
Brian Westbrook, Philadelphia Eagles,RB,94
LeSean McCoy, Philadelphia Eagles,RB,75
Brent Celek, Philadelphia Eagles,TE,73
DeSean Jackson, Philadelphia Eagles,WR,81
Jeremy Maclin, Philadelphia Eagles,WR,78
Kevin Curtis, Philadelphia Eagles,WR,76
Reggie Brown, Philadelphia Eagles,WR,72
Hank Baskett, Philadelphia Eagles,WR,64
Trent Cole, Philadelphia Eagles,RE,91
Stewart Bradley, Philadelphia Eagles,MLB,77
Asante Samuel, Pittsburgh Steelers,CB,95
Ben Roethlisberger, Pittsburgh Steelers,QB,93
Willie Parker, Pittsburgh Steelers,RB,86
Rashard Mendenhall, Pittsburgh Steelers,RB,72
Heath Miller, Pittsburgh Steelers,TE,88
Hines Ward, Pittsburgh Steelers,WR,90
Santonio Holmes, Pittsburgh Steelers,WR,86
Limas Sweed, Pittsburgh Steelers,WR,64
Mike Wallace, Pittsburgh Steelers,WR,57,,
" Evander ""Ziggy"" Hood", Pittsburgh Steelers,RE,75
James Harrison, Pittsburgh Steelers,ROLB,97
James Harrison, Pittsburgh Steelers,MLB,95
LaMarr Woodley, Pittsburgh Steelers,LOLB,88
Lawrence Timmons, Pittsburgh Steelers,MLB,74
Troy Polamalu, Pittsburgh Steelers,SS,99
Ryan Clark, Pittsburgh Steelers,FS,83
Jeff Reed, San Diego Chargers,K,76
Philip Rivers, San Diego Chargers,QB,89
LaDainian Tomlinson, San Diego Chargers,RB,94
Darren Sproles, San Diego Chargers,RB,85
Jacob Hester, San Diego Chargers,FB,70
Antonio Gates, San Diego Chargers,TE,95
Vincent Jackson, San Diego Chargers,WR,84
Chris Chambers, San Diego Chargers,WR,78
Shawne Merriman, San Diego Chargers,ROLB,89
Stephen Cooper, San Diego Chargers,MLB,77
Eric Weddle, San Diego Chargers,FS,84
Antonio Cromartie, San Francisco 49ers,CB,84
Shaun Hill, San Francisco 49ers,QB,69
Alex Smith, San Francisco 49ers,QB,67
Nate Davis, San Francisco 49ers,QB,64
Frank Gore, San Francisco 49ers,RB,91
Vernon Davis, San Francisco 49ers,TE,78
Michael Crabtree, San Francisco 49ers,WR,84
Isaac Bruce, San Francisco 49ers,WR,79
Josh Morgan, San Francisco 49ers,WR,74
Brandon Jones, San Francisco 49ers,WR,70
Justin Smith, San Francisco 49ers,RE,83
Demetric Evans, San Francisco 49ers,LE,61
Patrick Willis, San Francisco 49ers,MLB,98
Michael Lewis, San Francisco 49ers,SS,80
Nate Clements, Seattle Seahawks,CB,84
Matt Hasselbeck, Seattle Seahawks,QB,84
Julius Jones, Seattle Seahawks,RB,75
T.J. Houshmandzadeh, Seattle Seahawks,WR,91
Deion Branch, Seattle Seahawks,WR,79
Walter Jones, Seattle Seahawks,LT,94
Patrick Kerney, Seattle Seahawks,LE,93
Lofa Tatupu, Seattle Seahawks,MLB,90
Aaron Curry, St. Louis Rams,LOLB,84
Marc Bulger, St. Louis Rams,QB,78
Steven Jackson, St. Louis Rams,RB,92
Chris Long, St. Louis Rams,RE,82
Will Witherspoon, St. Louis Rams,LOLB,86
James Laurinaitis, Tampa Bay Buccaneers,MLB,77
Josh Freeman, Tampa Bay Buccaneers,QB,73
Derrick Ward, Tampa Bay Buccaneers,RB,84
Ernest Graham, Tampa Bay Buccaneers,RB,79
Carnell Williams, Tampa Bay Buccaneers,RB,72
Kellen Winslow, Tampa Bay Buccaneers,TE,90
Gaines Adams, Tampa Bay Buccaneers,RE,78
Barrett Ruud, Tampa Bay Buccaneers,MLB,87
Ronde Barber, Tampa Bay Buccaneers,CB,88
Aqib Talib, Tennessee Titans,CB,84
Kerry Collins, Tennessee Titans,QB,79
Vince Young, Tennessee Titans,QB,68
Chris Johnson, Tennessee Titans,RB,88
LenDale White, Tennessee Titans,RB,79
Alge Crumpler, Tennessee Titans,TE,77
Justin Gage, Tennessee Titans,WR,77
Kyle Vanden Bosch, Tennessee Titans,RE,87
Jevon Kearse, Tennessee Titans,LE,75
Keith Bulluck, Tennessee Titans,ROLB,95
Michael Griffin, Tennessee Titans,FS,95
Cortland Finnegan, Washington Redskins,CB,92
Jason Campbell, Washington Redskins,QB,77
Clinton Portis, Washington Redskins,RB,93
Ladell Betts, Washington Redskins,RB,72
Chris Cooley, Washington Redskins,TE,91
Santana Moss, Washington Redskins,WR,86
Antwaan Randle El, Washington Redskins,WR,75
Devin Thomas, Washington Redskins,WR,66
Albert Haynesworth, Washington Redskins,DT,99
Cornelius Griffin, Washington Redskins,DT,84
London Fletcher-Baker, Washington Redskins,MLB,89
Rocky McIntosh, Washington Redskins,ROLB,77
Brian Orakpo, Washington Redskins,LOLB,76
LaRon Landry, Washington Redskins,FS,84
Chris Horton, Washington Redskins,SS,70
DeAngelo Hall, Washington Redskins,CB,79
Fred Smoot, Washington Redskins,CB,69